date,max_temp,min_temp
2021-09-15,24.7,18.1
2021-09-16,24.8,17.7
2021-09-17,27.1,22.2
2021-09-18,27.3,22.1
2021-09-19,26.3,15.7
2021-09-20,26.5,17.8
2021-09-21,28.1,18.7
2021-09-22,29.4,22.2
2021-09-23,29.1,20.1
2021-09-24,28.1,19.6
2021-09-25,22.3,17.9
2021-09-26,24.0,16.3
2021-09-27,23.8,16.5
2021-09-28,26.1,16.2
2021-09-29,27.4,18.6
2021-09-30,24.2,18.0
2022-09-15,29.8,17.7
2022-09-16,31.5,20.7
2022-09-17,30.5,24.0
2022-09-18,29.6,24.1
2022-09-19,29.0,22.2
2022-09-20,22.9,17.0
2022-09-21,26.1,14.5
2022-09-22,27.2,17.9
2022-09-23,27.1,22.3
2022-09-24,26.1,20.5
2022-09-25,26.3,17.6
2022-09-26,27.6,18.5
2022-09-27,25.7,17.6
2022-09-28,25.4,19.4
2022-09-29,26.8,18.0
2022-09-30,27.7,18.5
2023-09-15,31.5,24.9
2023-09-16,32.0,24.7
2023-09-17,31.8,24.9
2023-09-18,32.4,23.0
2023-09-19,32.4,23.9
2023-09-20,29.7,22.7
2023-09-21,30.4,24.2
2023-09-22,26.3,21.8
2023-09-23,25.6,19.5
2023-09-24,26.4,16.5
2023-09-25,28.2,18.6
2023-09-26,28.5,21.0
2023-09-27,31.1,21.5
2023-09-28,31.0,23.6
2023-09-29,27.6,20.4
2023-09-30,28.2,21.3
2024-09-15,32.2,24.4
2024-09-16,32.7,22.7
2024-09-17,35.3,25.5
2024-09-18,32.5,25.4
2024-09-19,33.4,25.4
2024-09-20,32.9,26.4
2024-09-21,30.6,22.7
2024-09-22,27.9,22.0
2024-09-23,24.0,16.7
2024-09-24,23.3,16.1
2024-09-25,28.1,20.6
2024-09-26,27.7,21.4
2024-09-27,27.1,22.0
2024-09-28,25.1,21.0
2024-09-29,25.3,19.4
2024-09-30,26.4,18.7
2025-09-15,31.8,24.3
2025-09-16,33.8,24.9
2025-09-17,36.5,25.9
2025-09-18,32.9,20.6
2025-09-19,28.1,20.8
2025-09-20,29.5,22.2
2025-09-21,27.4,19.7
2025-09-22,24.2,17.1
2025-09-23,26.4,17.0
2025-09-24,28.3,18.1
2025-09-25,32.2,21.9
2025-09-26,30.2,21.4
2025-09-27,28.0,20.8
2025-09-28,32.0,23.7
2025-09-29,31.8,20.4
2025-09-30,26.9,19.9
